artist_name	song_name	lyrics
Soda Stereo	No Existes	Alguna vez fue que planeamos Hacernos todo el daño de una vez dictando una sentencia desafiante No existes no existes no existes no existes Me apoyaron sobre la silla brillante truco de apariencias tu presencia es mi pesadilla No existes no existes no existes no existes Como un extraño tic nervioso arrojo palabras gestos contra la pared Toda una noche embalsamados golpee las mismas caras una y otra vez temi por mi cerebro aprisionado en una cama negra quizas deba tomarme una revancha aun tenemos cuentas por saldar deslizare mi puño por tu espalda No existes no existes no existes no existes Como un extraño tic nervioso arrojo palabras gestos contra la pared un pulso salvaje no existes ....
Soda Stereo	Sueles Dejarme Solo	Nena, nunca voy a ser un superhombre y sueles dejarme solo estoy abriendo el juego un juego elctrico y sueles dejarme solo. Ay, Ay, Ay (sin respuesta) El riesgo es el camino, mas intenso y sueles dejarme solo Afuera el fro embiste. Adentro el vrtigo y sueles dejarme solo. Ay, Ay, Ay Nena nunca voy a ser un superhombre y sueles dejarme solo
Soda Stereo	En El Séptimo Dia	Odio este domingo hbrido de siempre, me da igual, me da igual. Es un beso en la pantalla del autocine sin gozar, sin gozar. El ojo de la aguja la punta de mi lengua es igual, es igual. En el comienzo fue un big-bang y fue caliente revolver, revolver... sobre los ttulos vi caer tu nombre y reaccion, reaccion. Solo Dios sabe que es el sptimo da el abismo y la luna en el sptimo da no descansar... En este tiempo anfibio temo perderte por volar, por volar. El reino de los cielos la llave del averno es igual, es igual. En el sptimo da el abismo y la luna en el sptimo da. Solo Dios sabe que es el sptimo da el abismo y la luna en el sptimo da No descansar...
Soda Stereo	Un Millon De Años Luz	No vuelvas no vuelvas sin razón no vuelvas estaré a un millón de años luz Y cuando el mundo enmudece y las promesas engañan nos revolcamos en el jardin por donde nadie pasa Del fuego vino el diluvio la nave vuelve a partir y mi alimento son las cenizas de una noche larga No vuelvas no vuelvas sin razón no vuelvas estaré a un millón de años luz de casa De las historias pasadas ya no me aturde saber que ella conoce mi perversion en una noche larga y esta noche es larga No vuelvas sin razón no vuelvas yo estaré a un millón de años luz de casa yo estaré a un millón de años luz de casa yo estaré a un millón de años luz de casa
Soda Stereo	De Música Ligera	Odio este domingo híbrido de siempre, me da igual, me da igual. Es un beso en la pantalla del autocine sin gozar, sin gozar. El ojo de la aguja la punta de mi lengua es igual, es igual. En el comienzo fue un big-bang y fue caliente revolver, revolver... sobre los títulos vi caer tu nombre y reaccioné, reaccioné. Solo Dios sabe que es el séptimo día el abismo y la luna en el séptimo día no descansaré... En este tiempo anfibio temo perderte por volar, por volar. El reino de los cielos la llave del averno es igual, es igual. En el séptimo día el abismo y la luna en el séptimo día. Solo Dios sabe que es el séptimo día el abismo y la luna en el séptimo día No descansaré...
Soda Stereo	Zona De Promesas	Mama sabe bien Perdi un batalla Quiero regresar Solo a besarla No esta mal ser mi dueño otra vez Ni temer que el rio sangre y calme Al contarle mis plegarias Tarda en llegar Y al final, al final Hay recompensa Mama sabe bien Que mi princesa Cuando regrese Todo quemaba No esta mal sumergirme otra vez Ni temer que el rio sangre y calme Si eh buscar en silencio Tarda en llegar Y al final, al final Hay recompensa Tarda en llegar Y al final, al final Hay recompensa Tarda en llegar Y al final, al final Hay recompensa Tarda en llegar Y al final, al final Hay recompensa En la zona de promesas
Soda Stereo	Cae El Sol	Y cada vez que vuelvo tus ecos estan y querra despertarme y al fin con vos volver a jugar Cae el sol y aun sigo soando sale el sol y no te puedo encontrar Y cada vez que vuelvo aqu siento que vos me arrojaste a la inercia sin novedad, sin decepcin Cae el sol y an sigo soando sale el sol y no te puedo encontrar Y cada vez que vuelvo un mismo final afuera el mundo sigue soy uno ms buscando en el mar Un extrao destino una oscura verdad tan slo tropiezos amar o callar anduve caminando por calles al azar por calles vacas Buenos Aires, Argentina humedad Cae el sol sale el sol y cada vez que vuelvo cae el sol sale el sol
Soda Stereo	Prófugos	Somos cómplices los dos al menos sé que huyo porque amo necesito distensión estar asi despierto es un delirio de condenados Como un efecto desigual yo siempre tomaré el desvío tus ojos nunca mentirán pero ese ruido blanco es una alarma a mis oidos No seas tan cruel no busques más pretextos no seas tan cruel siempre seremos prófugos los dos No tenemos donde ir somos como un area desvastada carreteras sin sentido religiones sin motivo como podremos hoy vivir No seas tan cruel no busques más pretextos no seas tan cruel siempre seremos, siempre seremos prófugos los dos
Soda Stereo	Nada Personal	Comunicación sin emoción una voz en off con expresión deforme busco algo que me saque este mareo busco calor en esa imagen de video Nada, nada personal nada, nada personal Ella no puede pensar, esta aburrida de tanto simular cayó dormida busco en TV algún mensaje entre líneas busco alguien que sacuda mi cabeza y no encuentro nada, nada Nada personal nada, nada personal nada especial Sinceramente sería tan bueno tocarte pero es inútil, tu cuerpo es de látex y no siento nada Nada personal nada, nada personal
Soda Stereo	Te Hacen Falta Vitaminas	Por mas que tengan los volumenes andando Viviendo tus membranas Saltando como una rana Por mas que intentes esquivarlo en algun vuelo Hay algo que te rasca Algo anda mal, mal, algo falla Dando vueltas por tu cuarto sin sentido, esperando algun milagro y no pasa nada Oye! te hacen falta vitaminas Oye! te hacen falta vitaminas Depresiones, confusiones Hasta cuando seguiran esas canciones Y que te da para soltarte? para animarte? O supones que alguien viene a despertarte? Oye! te hacen falta vitaminas (vitaminas uh uh) Oye! te hacen falta vitaminas (vitaminas) Va a ser mejor que te levantes de una vez Oye! te hacen falta vitaminas (vitaminas uh uh) Oye! te hacen falta vitaminas ( uh uh) Oye! te hacen falta vitaminas (vitaminas, uh uh) Oye! te hacen falta vitaminas ( uh uh) Oye! te hacen falta vitaminas (vitaminas, uh uh) Oye! te hacen falta vitaminas, minas, minas, minas He!
Soda Stereo	Disco Eterno	Me salí fuera de contexto practicar no te hace perfecto poner un disco eterno moverme con razón Un espíritu a veces seguro otras veces incierto vengo a descubrir porque este deseo crece Entre los dos pasa un meridiano latitud vidas paralelas abrir el sueño stereo crea la dimensión Sin disimular me voy desnudando con cada sonido alta fidelidad cuando este deseo crece Un espíritu a veces seguro otras veces incierto vengo a descubrir porque este deseo crece
Soda Stereo	Planeador	Gira el disco lentamente por la habitación soy piloto de juguetes entre nubes voy Cruzo el valle en mi fragil planeador La ternura de tu duda mi habitual rincón en cada minimo detalle creo oir tu voz Cruza el valle suenas fragil como yo
Soda Stereo	Luna Roja	el salio y dejo la casa vacia se entrego al suave aire del desierto y entonces la vio la luna roja sobre el mar negro luna roja primero leon luego cordero ruega a dios poder volver del desierto desde que vio la luna roja sobre el mar negro luna  roja cuidame yo te cuidare yo tambien pague placeres ciegos no quiero ver la luna roja sobre el mar negro luna roja luna roja es peligrosa es peligrosa
Soda Stereo	Té Para Tres	No vuelvas no vuelvas sin razn no vuelvas estar a un milln de aos luz Y cuando el mundo enmudece y las promesas engaan nos revolcamos en el jardn por donde nadie pasa del fuego vino el diluvio la nave vuelve a partir y mi alimento son las cenizas de una noche larga No vuelvas no vuelvas sin razn no vuelvas yo estar a un milln de anos luz de casa De las historias pasadas ya no me aturde saber ella conoce mi perversin en una noche larga y esta noche es larga No vuelvas no vuelvas sin razn no vuelvas estar a un milln de aos luz de casa
Soda Stereo	Claroscuro	Cuando ro de placer y me quedo solo susprando formas de humo... Dulce criatura, nunca ests segura y soy tan dependiente de tu amor. No me sigas, no se donde voy; las cenizas vuelan en un claroscuro y me nublan. Paso la frontera del dolor suicida alma fugitiva, librame. Cuando ests dormida volver a tocarte, me confiaste ser tu ngel. (aunque): dulce criatura nunca ests segura, ya no tengas dudas, soy tan dependiente de tu amor. Soy tan vulnerable a tu amor.
Soda Stereo	Persiana Americana	Yo te prefiero fuera de foco inalcanzable Yo te prefiero irreversible casi intocable Tus ropas caen lentamente soy un espia, un espectador y el ventilador desgarrandote sé que te excita pensar hasta donde llegaré Es difícil de creer creo que nunca lo podré saber sólo así yo te veré a través de mi persiana americana Es una condena agradable el instante previo es como un desgaste una necesidad más que un deseo Estamos al borde de la cornisa casi a punto de caer no sientes miedo sigues sonriendo sé que te excita pensar hasta donde llegaré Es difícil de creer creo que nunca lo podré saber sólo así yo te veré a través de mi persiana americana Tus ropas caen lentamente soy un espia, un espectador y el ventilador desgarrandote sé que te excita pensar hasta donde llegaré Es difícil de creer creo que nunca lo podré saber sólo así yo te veré a través de mi persiana americana Lo que pueda suceder no gastes fuerzas para comprender sólo así yo te veré a través de mi persiana americana
Soda Stereo	Un Millón De Años Luz	No vuelvas no vuelvas sin razón no vuelvas estaré a un millón de años luz Y cuando el mundo enmudece y las promesas engañan nos revolcamos en el jardin por donde nadie pasa Del fuego vino el diluvio la nave vuelve a partir y mi alimento son las cenizas de una noche larga No vuelvas no vuelvas sin razón no vuelvas estaré a un millón de años luz de casa De las historias pasadas ya no me aturde saber que ella conoce mi perversion en una noche larga y esta noche es larga No vuelvas sin razón no vuelvas yo estaré a un millón de años luz de casa yo estaré a un millón de años luz de casa yo estaré a un millón de años luz de casa
Soda Stereo	Cae El Sol	Y cada vez que vuelvo tus ecos estan y querra despertarme y al fin con vos volver a jugar Cae el sol y aun sigo soando sale el sol y no te puedo encontrar Y cada vez que vuelvo aqu siento que vos me arrojaste a la inercia sin novedad, sin decepcin Cae el sol y an sigo soando sale el sol y no te puedo encontrar Y cada vez que vuelvo un mismo final afuera el mundo sigue soy uno ms buscando en el mar Un extrao destino una oscura verdad tan slo tropiezos amar o callar anduve caminando por calles al azar por calles vacas Buenos Aires, Argentina humedad Cae el sol sale el sol y cada vez que vuelvo cae el sol sale el sol
Soda Stereo	De Música Ligera	Odio este domingo híbrido de siempre, me da igual, me da igual. Es un beso en la pantalla del autocine sin gozar, sin gozar. El ojo de la aguja la punta de mi lengua es igual, es igual. En el comienzo fue un big-bang y fue caliente revolver, revolver... sobre los títulos vi caer tu nombre y reaccioné, reaccioné. Solo Dios sabe que es el séptimo día el abismo y la luna en el séptimo día no descansaré... En este tiempo anfibio temo perderte por volar, por volar. El reino de los cielos la llave del averno es igual, es igual. En el séptimo día el abismo y la luna en el séptimo día. Solo Dios sabe que es el séptimo día el abismo y la luna en el séptimo día No descansaré...
Soda Stereo	En La Ciudad De La Furia	Me verás volar por la ciudad de la furia donde nadie sabe de mi y yo soy parte de todos Nada cambiará con un aviso de curva en sus caras veo el temor ya no hay fábulas En la ciudad de la furia Me verás caer como un ave de presa me verás caer sobre terrazas desiertas Me desnudaré por las calles azules me refugiaré antes que todos despierten Me dejarás dormir al amanecer entre tus piernas, entre tus piernas sabrás ocultarte bien y desaparecer entre la niebla, entre la niebla Un hombre alado extraña la tierra Me verás volar por la ciudad de la furia donde nadie sabe de mi y yo soy parte de todos La luz del Sol derrite mis alas sólo encuentro en la oscuridad lo que me une con la ciudad de la furia Me verás caer como una flecha salvaje me verás caer entre vuelos fugaces Buenos Aires se ve tan susceptible es el destino de furias lo que en sus caras persiste Me dejarás dormir al amanecer entre tus piernas, entre tus piernas sabrás ocultarte bien y desaparecer entre la niebla, entre la niebla Un hombre alado prefiere la noche Me veras volver Me veras volver...
Soda Stereo	El Rito	Soy un profanador Estoy desafiando al tiempo Ya ves mi transgresion Es procurar tenerte El cielo entiende que mi obsecion Esta llegando a un limite Y el desierto al menos soy No parece no parece tan.... Sueles encontrarme en cualquier lugar Y ya lo sabes nada es casualidad Tu misteriosa forma me lastimara Pero a cada segundo estare mas cerca, mas mas Paralizandome jamas podre esperarte Y no tengo que esperar en un altar de sacrificio Solo meterme en tu ritual y descifrar tu enigma Tal vez no hablarme mas El silencio no es tiempo perdido Sueles encontrarme en cualquier lugar Y ya lo sabes nada es casualidad Tu misteriosa forma me lastimara Pero a cada segundo estare mas cerca, mas mas Desafiando al rito Destruyendo mitos Sueles encontrarme en cualquier lugar Y ya lo sabes nada es casualidad Tu misteriosa forma me lastimara Pero a cada segundo estare mas cerca, mas cerca tuyo Desafiando al rito Destruyendo mitos Desafiando al rito Destruyendo mitos
Soda Stereo	Hombre Al Agua	Nena, nunca voy a ser un superhombre y sueles dejarme solo estoy abriendo el juego un juego elctrico y sueles dejarme solo. Ay, Ay, Ay (sin respuesta) El riesgo es el camino, es tan intenso y sueles dejarme solo Afuera el fro embiste. Adentro el vrtigo y sueles dejarme solo. Ay, Ay, Ay Nena nunca voy a ser un superhombre y sueles dejarme solo
Soda Stereo	En El Séptimo Día	Odio este domingo hbrido de siempre, me da igual, me da igual. Es un beso en la pantalla del autocine sin gozar, sin gozar. El ojo de la aguja la punta de mi lengua es igual, es igual. En el comienzo fue un big-bang y fue caliente revolver, revolver... sobre los ttulos vi caer tu nombre y reaccion, reaccion. Solo Dios sabe que es el sptimo da el abismo y la luna en el sptimo da no descansar... En este tiempo anfibio temo perderte por volar, por volar. El reino de los cielos la llave del averno es igual, es igual. En el sptimo da el abismo y la luna en el sptimo da. Solo Dios sabe que es el sptimo da el abismo y la luna en el sptimo da No descansar...
Soda Stereo	Canción Animal	Hipnotismo de un flagelo dulce tan dulce. Cuero, piel y metal carmin y charol Cuando el cuerpo no espera lo que llaman amor Cada lagrima de hambre el mas puro néctar Nada mas dulce que el deseo en cadenas Cuando el cuerpo no espera lo que llaman amor Mas se pide y se vive canción animal, canción animal No me sirven las palabras gemir es mejor Cuando el cuerpo no espera lo que llaman amor Mas se pide y se vive canción animal, canción animal Mas se vive y se vive (Mas, Mas) mas se vive y se vive canción animal, canción animal
Soda Stereo	Trátame Suavemente	Alguien me a dicho que la soledad se esconde tras tus ojos, y que tu blusa atora sentimientos, que respiras tenes que comprender que no puse tus miedos donde estan guardados, y que no podre quitartelos si al hacerlo me desgarras. No quiero soñar mil veces la mismas cosas ni contemplarlas sabiamente quiero que me trates suavemente. Te comportas de acuerdo con lo que te dicta cada momento y esta inconstancia, no es algo heroico es mas bien algo enfermo. No quiero soñar mil veces las mismas cosas ni contemplarlas sabiamente quiero que me trates suavemente. No quiero soñar mil veces las mismas cosas ni contemplarlas sabiamente quiero que me trates suavemente quiero que me trates suavemente quiero que me trates suavemente suavemente, suavemente Suavemente.
